City_ID,city,lat,lng,max_Temp,humidity,cloudiness,wind_Speed,country,date
208,rindal,63.0565,9.2124,31.71,89,100,4.47,NO,2023-04-03 21:14:58
209,mercedes,-34.6515,-59.4307,70.86,72,99,6.11,AR,2023-04-03 21:14:58
210,ndjole,-0.1783,10.7649,76.33,96,100,2.51,GA,2023-04-03 21:14:58
211,lompoc,34.6391,-120.4579,59.68,54,20,29.93,US,2023-04-03 21:14:58
212,nyurba,63.2842,118.3319,14.22,96,100,4.99,RU,2023-04-03 21:14:58
213,khalkhal,37.6189,48.5258,42.37,72,84,1.74,IR,2023-04-03 21:14:59
214,sarangani,5.4033,125.4636,80.55,76,89,2.06,PH,2023-04-03 21:14:59
215,farah,32.5,62.5,59.81,20,0,5.12,AF,2023-04-03 21:14:59
216,bad bevensen,53.0833,10.5833,35.6,74,4,5.28,DE,2023-04-03 21:14:59
217,yerakion,37.0,22.7,48.29,98,84,6.82,GR,2023-04-03 21:14:59
218,sitka,57.0531,-135.33,42.69,61,20,5.75,US,2023-04-03 21:15:00
219,salvador,13.8333,-88.9167,90.05,20,22,6.44,SV,2023-04-03 21:15:00
220,tadine,-21.55,167.8833,80.06,79,41,7.56,NC,2023-04-03 21:15:00
221,panalingaan,8.7842,117.4231,77.54,84,12,1.92,PH,2023-04-03 21:15:01
222,asau,46.4333,26.4,38.32,90,100,5.68,RO,2023-04-03 21:15:01
223,naze,28.3667,129.4833,63.52,58,63,21.43,JP,2023-04-03 21:15:02
224,meulaboh,4.1363,96.1285,74.61,91,94,4.14,ID,2023-04-03 21:15:03
225,clyde river,70.4692,-68.5914,-6.21,92,6,3.94,CA,2023-04-03 21:15:03
226,narsaq,60.9167,-46.05,46.62,78,100,6.6,GL,2023-04-03 21:15:04
227,agirish,61.9247,63.0231,21.38,91,99,9.01,RU,2023-04-03 21:15:04
228,bathsheba,13.2167,-59.5167,81.21,69,75,18.41,BB,2023-04-03 21:15:05
229,nhulunbuy,-12.2333,136.7667,79.41,94,100,4.61,AU,2023-04-03 21:15:05
230,taltal,-25.4,-70.4833,71.22,81,44,3.74,CL,2023-04-03 21:10:20
231,aban,56.67,96.06,28.24,85,100,14.34,RU,2023-04-03 21:15:06
232,voskresenskoye,56.8381,45.4317,40.19,94,100,5.21,RU,2023-04-03 21:15:06
233,acapulco,16.8634,-99.8901,87.62,55,40,16.11,MX,2023-04-03 21:14:37
234,ahipara,-35.1667,173.1667,64.29,66,74,11.32,NZ,2023-04-03 21:15:07
235,lazaro cardenas,17.9583,-102.2,85.84,47,6,12.1,MX,2023-04-03 21:15:10
236,limoux,42.9167,2.1667,47.52,60,100,6.89,FR,2023-04-03 21:15:11
